title,source,date,category,narasi,penjelasan,url,status
"Cek fakta, Kejagung umumkan tersangka korupsi tata kelola minyak mentah akan dihukum mati",ANTARA,13 Maret 2025,Hukum,"Jakarta (ANTARA/JACX) – Sebuah unggahan video diTikTokmenarasikan Kejaksaan Agung (Kejagung) resmi memutuskan tersangka dalam kasus korupsi tata kelola minyak mentah dan produk kilang PT Pertamina Patra Niaga periode 2018-2023 akan dihukum mati.

Berikut narasi dalam unggahan tersebut:

“Kejagung umumkan koruptor pertamina hukum mati”

Namun, benarkah Kejagung umumkan tersangka korupsi minyak mentah akan dihukum mati?","

Berdasarkan penelusuran, video yang diunggah serupa dengan YouTube MetroTV “[FULL] BREAKING NEWS - Kejagung Tambah Dua Tersangka dalam Skandal Minyak Pertamina”. Dalam keterangannya, Penyidik Kejagung kembali menetapkan dua tersangka baru dalam kasus dugaan korupsi di PT Pertamina Patra Niaga.

Mereka adalah Maya Kusmaya, Direktur Pemasaran dan Niaga, serta Edward Corne, Vice President Trading Operations. Keduanya ditahan di Rutan Salemba Cabang Kejagung setelah penyidik menemukan bukti keterlibatan dalam skema manipulasi pembelian bahan bakar yang merugikan negara.

Diketahui hingga saat ini, penyidik Jampidsus tengah melakukan penyidikan kasus dugaan korupsi tata kelola minyak mentah dan produk kilang pada PT Pertamina Subholding dan Kontraktor Kontrak Kerjasama (KKKS) tahun 2018–2023. Dalam kasus ini, penyidik telah menetapkan sembilan orang tersangka dalam kasus tersebut.

Belum ada pernyataan resmi mengenai hukuman yang diterima tersangka kasus dugaan korupsi dalam tata kelola minyak mentah dan produk kilang pada PT Pertamina Subholding dan Kontraktor Kontrak Kerja Sama (KKKS) pada tahun 2018-2023.

Sebelumnya, Jaksa Agung ST Burhanuddin enggan berspekulasi soal kemungkinan para tersangka kasus dugaan tata kelola minyak mentah dan produk kilang pada PT Pertamina Subholding dan Kontraktor Kontrak Kerja Sama (KKKS) 2018-2023, akan dijatuhi hukuman mati.



""Kita akan melihat hasil nanti selesai penyelidikan ini, kita akan melihat dulu,"" kata Burhanuddin beberapa waktu lalu.

Hal itu disampaikan Burhanuddin merespons pertanyaan soal kemungkinan para tersangka dijatuhi hukuman mati karena kasus korupsi itu terjadi pada 2018-2023, beririsan dengan pandemi COVID-19 yang terjadi pada 2020.

Pasal 2 Ayat (2) Undang-Undang Pemberantasan Tindak Pidana Korupsi (UU Tipikor) mengatur bahwa pidana mati dapat dijatuhkan terhadap koruptor bila melakukan korupsi ketika negara dalam keadaan bahaya, terjadi bencana alam nasional, sebagai pengulangan tindak pidana korupsi, atau pada waktu negara dalam keadaan krisis ekonomi dan moneter.Cek fakta:Hoaks! Tautan kompensasi Rp1,5 juta bagi korban ""blending"" BBMCek fakta:Hoaks! Video reka ulang tersangka campurkan Pertalite ke PertamaxBaca juga:Kejagung dalami grup ""Orang-Orang Senang"" terkait kasus minyak mentah

Pewarta: Tim JACXEditor: IndrianiCopyright © ANTARA 2025

Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA.",https://www.antaranews.com/berita/4708733/cek-fakta-kejagung-umumkan-tersangka-korupsi-tata-kelola-minyak-mentah-akan-dihukum-mati,hoax
Hoaks! Demonstrasi mahasiswa di Solo pada 15 Februari 2024,ANTARA,15 Februari 2024,Politik,"Jakarta (ANTARA/JACX) – Sebuah video beredar di WhatsApp pada 15 Februari menampilkan demonstrasi yang dilakukan didepan Balai Kota Solo.

Video tersebut beredar seusai tanggal pencoblosan yakni tanggal 14 Februari, seusai diumumkannya hasil hitung cepat dari sejumlah lembaga survei. Hasil hitung cepat tertinggi diraih oleh paslon nomor urut dua Prabowo-Gibran.

Dalam video tersebut terdengar suara seruan untuk membakar ban.

Berikut narasi dalam video tersebut:

“Demo di Solo

Heh Gibran keluar kau Jokowi benalu di negri ini

Pasung Gibran dan cincang Jokowi”

Namun, benarkah terjadi aksi mahasiswa di Solo itu?","Berdasarkan penelusuran, aksi aliansi mahasiswa tersebut memang terjadi di Balai Kota Solo, namun aksi tersebut dilakukan pada 8 Februari 2024, bukan seusai hasil hitung cepat keluar atau pada 15 Februari 2024.



Video tersebut serupa dengan unggahan dalam akunX, pada 8 Februari.

Dilansir dariANTARA, para mahasiswa yang melakukan aksi demo tersebut menyoroti mengenai demokrasi di Indonesia. Mereka akan menyampaikan ditegakkannya demokrasi di Indonesia.",https://www.antaranews.com/berita/3966645/hoaks-demonstrasi-mahasiswa-di-solo-pada-15-februari-2024,hoax
Hoaks! Dua orang polisi tewas dalam demo Pati 13 Agustus,ANTARA,15 Agustus 2025,Metro,"Jakarta (ANTARA/JACX) – Sebuah video berdurasi 24 detik yang diunggah diFacebookmemperlihatkan anggota polisi berlarian dan dikejar oleh massa dalam aksi unjuk rasa.

Dalam narasi unggahan tersebut, disebutkan bahwa dua orang polisi tewas saat terjadi demonstrasi menuntut pengunduran diri Bupati Pati pada 13 Agustus 2025.

Narasi dalam video menyatakan:

“Dua orang polisi Di Kabarkan tewas saat demo bupati Pati”

Namun, benarkah dua orang polisi tewas dalam demo Pati 13 Agustus?","Kapolresta Pati, Kombes Pol. Jaka Wahyudi, melalui akun Instagram resmiPolresta Pati, menegaskan bahwa kabar tersebut adalah hoaks.

Ia menyatakan tidak ada anggota kepolisian yang meninggal dunia dalam peristiwa demonstrasi tersebut.

Beberapa unggahan di TikTok bahkan menyebutkan nama dua anggota polisi, yakni Aipda Teguh Sulistiyo dan Bripka Catur Puji Santoso, sebagai korban meninggal.

Faktanya, Aipda Teguh Sulistiyo telah wafat pada 17 Mei 2024 dan Bripka Catur Puji Santoso wafat pada 2 Februari 2024. Keduanya tidak ada kaitannya dengan aksi demo di Pati pada 13 Agustus 2025.



Kapolresta Pati, dilansir dariANTARA, menambahkan bahwa penyebaran informasi palsu seperti ini dapat memicu gangguan keamanan dan ketertiban di tengah masyarakat.

Kabid Humas Polda Jawa Tengah Kombes Pol. Artanto mengatakan sudah dilakukan penelusuran ke sejumlah rumah sakit dan fasilitas kesehatan lainnya.

""Hasilnya tidak ada laporan korban meninggal dunia,"" katanya, dilansir dariANTARA.

Meski demikian, lanjut dia, terdapat 34 orang yang terluka dalam aksi yang berlangsung ricuh tersebut.Cek fakta:Cek fakta, Bupati Pati Sadewo lengser pada 13 AgustusCek fakta:Hoaks! tiga orang tewas saat gelar aksi di PatiBaca juga:Anggota DPR tegaskan Bupati Pati hasil Pilkada tetap bisa dimakzulkan

Pewarta: Tim JACXEditor: M Arief IskandarCopyright © ANTARA 2025

Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA.",https://www.antaranews.com/berita/5039041/hoaks-dua-orang-polisi-tewas-dalam-demo-pati-13-agustus,hoax
Hoaks! Konferensi pers PSSI nyatakan Shin Tae-yong resmi kembali latih Timnas Indonesia,ANTARA,27 Oktober 2025,Sepakbola,"Jakarta (ANTARA/JACX) – Sebuah unggahan foto diFacebookmenampilkan tangkapan layar siaran “PRESS CONFERENCE” dan mengklaim Persatuan Sepak Bola Seluruh Indonesia (PSSI) kembali menunjuk Shin Tae-yong sebagai pelatih Timnas Indonesia serta telah sepakat bekerja sama hingga 2029.

Berikut narasi dalam unggahan tersebut:

“Akhirnya!! PSSI menggelar konferensi pers, malam ini dengan pelatih baru rasa lama di timnas yaitu shin Tae young mereka sepakat kerjasama hingga 2029, selamatPatah hati ke pada para pembenci stu haha  welcome coah”

Namun, benarkah konferensi pers PSSI nyatakan Shin Tae-yong resmi kembali latih Timnas Indonesia tersebut?","

Berdasarkan penelusuran, tangkapan layar tersebut identik dengan video Buletin iNews GTV berjudul “Konferensi Shin Tae-Yong Pelatih Timnas Indonesia usai Pertandingan - BIP 20/06” yang diunggah pada 20 Juni 2023.

Dalam video itu, Shin Tae-yong memberi pernyataan usai laga FIFA Match Day Indonesia vs Argentina di Stadion Utama Gelora Bung Karno, Jakarta, 19 Juni 2023.

Video tersebut tidak memuat pengumuman resmi PSSI tentang penunjukan kembali Shin Tae-yong atau kontrak hingga 2029.

Hingga saat ini, kursi pelatih kepala Timnas Indonesia masih kosong setelah berakhirnya kerja sama dengan Patrick Kluivert menyusul kegagalan lolos Piala Dunia 2026.

Ketua Umum PSSI Erick Thohir meminta suporter untuk “move on” dari Shin Tae-yong maupun Kluivert, karena keduanya merupakan bagian dari masa lalu Timnas, sementara nama-nama kandidat baru mulai dibicarakan.



""(Kedua pelatih) itu sudah masa lalu. Jadi kita harus moving forward, mencari pelatih baru, yang kita melihat kekurangan dan kelebihan STY maupun Patrick,"" kata Erick, dilansir dariANTARA.",https://www.antaranews.com/berita/5200889/hoaks-konferensi-pers-pssi-nyatakan-shin-tae-yong-resmi-kembali-latih-timnas-indonesia,hoax
"Cek fakta, artikel Jokowi yang sebut peti jenazah Paus Fransiskus bercahaya",ANTARA,3 Mei 2025,Politik,"Jakarta (ANTARA/JACX) – Sebuah unggahan diXmenampilkan tangkapan layar berita yang mengutip perkataan Presiden ke-7 RI, Joko Widodo yang menyebut peti jenazah Paus Fransiskus bercahaya.

Diketahui, Presiden Prabowo Subianto mengutus Presiden ke-7 RI Joko Widodo, Wakil Menteri Keuangan Thomas Djiwandono, Menteri HAM Natalius Pigai, dan Mantan Menteri ESDM Ignasius Jonan untuk menghadiri pemakaman pemimpin tertinggi Gereja Khatolik, Paus Fransiskus, di Vatikan.

Berikut narasi dalam unggahan tersebut:

“Joko Widodo: Peti Yang Mulia Paus Fransiskus Mengeluarkan Cahaya, Ini Menjadi Sejarah Dalam Hidup Saya.”

Namun, benarkah artikel Jokowi klaim peti Paus Fransiskus bercahaya?","Berdasarkan penelusuran ANTARA, tidak ditemukan artikel yang menyatakan Jokowi mengeluarkan pernyataan sebagaimana diklaim dalam unggahan yang beredar itu.

Namun, ANTARA menemukan artikel lain dengan elemen yang serupa, yakni foto, tanggal, dan sumber media yang sama, yang berjudul berbeda, yaitu “Mengapa Prabowo Utus Jokowi Hadiri Pemakaman Paus Fransiskus?”. Artikel ini dipublikasikan di laman Tempo pada 26 April 2025.

Isi artikel tersebut membahas latar belakang serta tanggapan pro dan kontra terkait keputusan Presiden Prabowo Subianto yang menunjuk Joko Widodo sebagai Utusan Khusus Presiden untuk menghadiri prosesi pemakaman Paus Fransiskus di Vatikan.

Ketua MPR Ahmad Muzani menyebut penunjukan Jokowi sebagai utusan khusus Presiden untuk menghadiri pemakaman Paus Fransiskus ke Vatikan, karena Jokowi pernah bertemu langsung dengan Paus ketika berkunjung ke Indonesia pada September 2024. Dengan demikian tidak benar artikel terkait Jokowi yang menyebut peti jenazah Paus Fransiskus bercahaya.Cek fakta:Hoaks! Artikel Jokowi yang menyatakan ijazah miliknya hilangCek fakta:Hoaks! Video Soeharto komentari kasus dugaan penggunaan ijazah palsuBaca juga:Utusan khusus sampaikan pesan Presiden saat pemakaman Paus Fransikus



Pewarta: Tim JACXEditor: IndrianiCopyright © ANTARA 2025

Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA.",https://www.antaranews.com/berita/4810733/cek-fakta-artikel-jokowi-yang-sebut-peti-jenazah-paus-fransiskus-bercahaya,hoax
"Deretan hoaks bagi-bagi uang jelang Pilkada, dari Prabowo hingga Dedi Mulyadi",ANTARA,27 November 2024,Humaniora,"Jakarta (ANTARA/JACX) – Menjelang Pilkada 2024, ramai di media sosial akun mengatasnamakan pejabat di Indonesia membagikan uang jutaan rupiah hanya dengan mengikuti, menyukai atau komentar diakun dan unggahan sesuatu. Padahal hal tersebut merupakan hoaks atau disinformasi.

Berikut deretan hoaks bagi-bagi hadiah yang dikumpulkan tim ANTARA:

1.Presiden Indonesia, Prabowo Subianto

Sebuah akun di TikTok mengatasnamakanPresiden Prabowomengunggah beberapa video yang menarasikan Prabowo akan memberikan bantuan untuk masyarakat yang membutuhkan.

Unggahan tersebut telah ditayangkan lebih dari 500 ribu penayangan, disukai oleh 17 ribu orang dan akun tersebut memiliki pengikut hingga 73 ribu.

Berikut narasi dalam video tersebut:

“bantuan khusus rakyat yang betul-betul membutuhkan bantuan”

Namun, benarkah unggahan tersebut?","

ANTARA menggunakan AI detector Hive Moderation untuk mendeteksi suara Presiden Prabowo. Hasilnya, suara tersebut 99,8 persen merupakan hasil Artificial Intelligence (AI).



2.Menteri Komunikasi dan Digital (Komdigi), Meutya Hafid

Sebuah akun di TikTok mengatasnamakan Menteri Komdigi,Meutya Hafid, mengatakan uang yang disita dari kasus judi online akan disalurkan untuk bantuan sosial bagi masyarakat yang membutuhkan.

Namun, benarkah unggahan tersebut?



ANTARA menggunakan AI detector Hive Moderation untuk mendeteksi suara Meutya Hafid. Hasilnya, suara tersebut 99,9 persen merupakan hasil Artificial Intelligence (AI).



3.Calon Gubernur Jawa Barat, Dedi Mulyadi

Sebuah akun TikTok mengatasnamakan Calon Gubernur Jawa Barat,Dedi Mulyadiakan memberikan bantuan kepada masyarakat sebesar Rp51 juta jika benar menjawab tebak-tebakan.

Namun, benarkah unggahan tersebut?



Berdasarkan penelusuran ANTARA, akun tersebut bukan akun resmi Dedi Mulyadi. Akun resmi Dedi Mulyadi di Instagram@dedimulyadi71, TikTok@dedimulyadiofficial(), dan FacebookKang Dedi Mulyadi.

Pewarta: Tim JACXEditor: IndrianiCopyright © ANTARA 2024

Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA.",https://www.antaranews.com/berita/4495241/deretan-hoaks-bagi-bagi-uang-jelang-pilkada-dari-prabowo-hingga-dedi-mulyadi,hoax
Disinformasi! Video Surya Paloh cium tangan Jokowi dan akui kekalahan,ANTARA,16 Maret 2024,Politik,"Jakarta (ANTARA/JACX) – Sebuah unggahan video diTikTokmenampilkan video saat Ketum NasDem Surya Paloh berjabat dan mencium tangan Presiden Jokowi. Unggahan tersebut dinarasikan Surya Paloh mengakui kesalahan dan kekalahannya pada Presiden Jokowi.

Berikut narasi dalam unggahan tersebut:

“Momen surya paloh mencium tangan pak jokowi saat bertemu di istana negara”

Namun, benarkah video tersebut merupakan saat Surya Paloh mengakui salah dan kalah terhadap Presiden Jokowi?","

Berdasarkan penelusuran, unggahan video tersebut serupa dengan video YouTube akun Sekretariat Negara yang berjudul “Presiden Jokowi Menghadiri Perayaan HUT Partai Nasdem, Jakarta, 11 November 2019” menit ke 6:44 hingga 6:55.

Dalam video tersebut, Presiden Joko Widodo (Jokowi) yang disambut oleh Ketua Umum Partai NasDem, Surya Paloh menghadiri Puncak Peringatan HUT Ke-8 Partai NasDem, di JIExpo Kemayoran, Jakarta (11/11/19).

Dengan demikian, klaim video Surya Paloh cium tangan Jokowi di Istana Negara, mengakui salah dan kalah merupakan keliru.",https://www.antaranews.com/berita/4012896/disinformasi-video-surya-paloh-cium-tangan-jokowi-dan-akui-kekalahan,hoax
Hoaks! Video Wapres Gibran resmi dimakzulkan DPR RI,ANTARA,14 November 2025,Politik,"Jakarta (ANTARA/JACX) – Sebuah unggahan video berdurasi 11 detik diFacebookmenampilkan Ketua DPR RI Puan Maharani dan Menteri Koordinator Pemberdayaan Masyarakat, Abdul Muhaimin Iskandar atau Cak Imin, yang tampak berdiri sambil bertepuk tangan.

Dalam video itu juga disertakan foto Wakil Presiden Gibran Rakabuming Raka. Unggahan tersebut menarasikan bahwa Gibran telah resmi dimakzulkan dari jabatannya sebagai wakil presiden.

Berikut narasi dalam unggahan tersebut:

“Akhirnya Gibr4n resmi di m4kjulk4n…!!!”

Namun, benarkah Wapres Gibran resmi dimakzulkan?","Berdasarkan penelusuran, video yang digunakan dalam unggahan itu merupakan potongan dari tayangan YouTube IDX berjudul “Ultah Puan, Lagu Selamat Ulang Tahun Menggema saat Rapat Paripurna”.

Video tersebut memperlihatkan momen ketika Ketua DPR RI Puan Maharani mendapat kejutan ulang tahun di tengah rapat paripurna pada 6 September 2022 di Kompleks Parlemen, Senayan. Pada saat itu, Cak Imin masih menjabat sebagai Wakil Ketua DPR RI.

Dengan demikian, konteks video asli tidak berkaitan sama sekali dengan isu pemakzulan. Hingga saat ini, Gibran Rakabuming Raka masih menjabat sebagai Wakil Presiden Indonesia.",https://www.antaranews.com/berita/5241045/hoaks-video-wapres-gibran-resmi-dimakzulkan-dpr-ri,hoax
"Cek fakta, kasus korupsi emas Antam palsu pada awal Maret 2025",ANTARA,5 Maret 2025,Hukum,"Jakarta (ANTARA/JACX) – Unggahan video beredar diXdanYouTubepada 4 Maret 2025 yang menarasikan sebanyak enam petinggi PT Antam Tbk menjadi tersangka karena palsukan sebanyak 109 ton emas dengan modus ditempel logo ANTAM secara ilegal.

Berikut narasi dalam unggahan tersebut:

“SKANDAL BARU LAGI PEMALSUAN EMAS ANTAM”

Namun, benarkah kasus korupsi emas Antam palsu pada awal Maret 2025?","

Berdasarkan penelusuran, unggahan tersebut serupa dengan unggahan ulangKejati Bengkuluyang diunggah 5 Juni 2024.

Penyidik Jaksa Agung Muda Tindak Pidana Khusus (Jampidsus) Kejaksaan Agung menetapkan enam orang General Manager Unit Bisnis Pengelolaan dan Pemurnian Logam Mulia (UBPPLN) PT Antam Tbk periode 2010-2022 dalam perkara dugaan tindak pidana korupsi tata kelola komoditi emas periode tahun 2010-2022 seberat 109 ton.

Direktur Penyidikan Jampidsus Kejaksaan Agung Kuntadi di Jakarta, Rabu, menyebut keenam tersangka tersebut, yakni TK selaku GM UBPPLN periode 2010-2011, HN periode 2011-2013, DM periode 2013-2017, AH periode 2017-2019, MAA periode 2019-2021 dan ID periode 2021-2022.

Dengan demikian, kasus tersebut terjadi pada akhir Mei 2024, bukan awal Maret 2025.Cek fakta:Cek fakta, video tumpukan uang di ruang staf khusus KominfoCek fakta:Cek fakta, video rumah John Cena selamat dari kebakaran LABaca juga:Vonis eks GM Antam diperberat jadi 16 tahun penjara terkait kasus emas



Pewarta: Tim JACXEditor: IndrianiCopyright © ANTARA 2025

Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA.",https://www.antaranews.com/berita/4691069/cek-fakta-kasus-korupsi-emas-antam-palsu-pada-awal-maret-2025,hoax
"Cek Fakta, Jokowi diusulkan jadi pahlawan nasional",ANTARA,12 November 2025,Politik,"Jakarta (ANTARA/JACX) – Sebuah unggahan diFacebookmenampilkan tangkapan layar artikel yang menyebut Kepala Staf Kepresidenan, Muhammad Qodari, menyarankan agar Joko Widodo diangkat sebagai pahlawan nasional karena dianggap memiliki jasa yang melebihi Jenderal Sudirman dan Ahmad Yani.

Judul dalam unggahan tersebut berbunyi:

“Muhammad Qodari: Joko Widodo Memenuhi Syarat Gelar Pahlawan, Jasa Jokowi Melebihi Jenderal Sudirman dan Ahmad Yani.”

Unggahan tersebut juga disertai narasi yang mempertanyakan kebenaran informasi tersebut.

Namun, benarkah Muhammad Qodari sarankan Jokowi jadi pahlawan nasional?","Berdasarkan penelusuran, tidak ditemukan pernyataan Qodari yang meminta atau menyarankan Joko Widodo dijadikan pahlawan nasional. Tidak ada keterangan resmi dari pemerintah maupun lembaga terkait mengenai klaim tersebut.

ANTARA menemukan bahwa gambar dan format artikel dalam unggahan tersebut sama dengan artikel berjudul “Kepala Staf Kepresidenan RI Tinjau Sekolah Rakyat Palangka Raya, Ini Tujuannya”.

Dalam artikel yang asli, Muhammad Qodari hanya melakukan kunjungan kerja untuk meninjau pelaksanaan program pendidikan di Sekolah Rakyat Palangka Raya, bukan membahas gelar pahlawan.

Dengan demikian, klaim bahwa Muhammad Qodari menyarankan agar Joko Widodo ditetapkan sebagai pahlawan nasional adalah tidak berdasar.

",https://www.antaranews.com/berita/5237417/cek-fakta-jokowi-diusulkan-jadi-pahlawan-nasional,hoax
Misinformasi! KPU tetapkan debat Capres-Cawapres 2024 tanpa penonton,ANTARA,2 Januari 2024,Politik,"Jakarta (ANTARA/JACX) – Debat Capres-Cawapres pertama dan kedua Pemilu 2024 sudah berlangsung pada 12 serta 22 Desember lalu.Debat ketiga akan dilaksanakan beberapa hari ke depan yaitu pada 7 Januari 2024.

Sebuah unggahanTikTokmenarasikan bahwa KPU mengubah format debat menjadi tanpa penonton. Dinarasikan juga, format baru KPU tersebut tidak meminta persetujuan pasangan calon.

Berikut narasi dalam unggahan tersebut:

“Kok tiba-tiba KPU ubah peraturan debat Capres Cawapres tanpa penonton? Padahal Pak Anies udah siap debat ditonton banyak orang :)”

Namun, benarkah KPU tetapkan debat Capres-Cawapres 2024 tanpa penonton?","Berdasarkan penelusuran, diketahui tangkapan layar tersebut merupakan laman berita Tribunnews yang berjudul “BREAKING NEWS: KPU Kembali Ubah Format Jelang Debat Perdana Capres-Cawapres, Tak Ada Penonton”.

KPU juga menkonfirmasi debat Capres-Cawapres Pemilu 2024 dipastikan tetap dengan penonton. Namun, KPU meniadakan acara nonton bareng atau nobar, lantaran debat disiarkan di televisi nasional dan platform media lainnya seperti YouTube, dll.

KPU juga memberi jatah sebanyak 75 kursi untuk pendukung setiap paslon, juga para pemangku kepentingan termasuk seperti kementerian/lembaga, TNI, Polri, dan Badan Pengawas Pemilu (Bawaslu) RI.

Dengan demikian, klaim KPU tetapkan debat Capres-Cawapres 2024 tanpa penonton merupakan misinformasi.

",https://www.antaranews.com/berita/3896895/misinformasi-kpu-tetapkan-debat-capres-cawapres-2024-tanpa-penonton,hoax
Hoaks! Jokowi resmi mengundurkan diri dari PDIP pada 24 Oktober,ANTARA,25 Oktober 2023,Politik,"Jakarta (ANTARA/JACX) – Pertanyaan terkait hubungan Presiden Jokowi dengan Ketua Umum PDIP Megawati Soekarnoputri mencuat usai putranya Gibran Rakabuming Raka menjadi bakal cawapres Prabowo Subianto.

Ditambah lagi, ramai terkait video saat Rakernas beberapa waktu lalu, terlihat Megawati terlihat seperti menghempaskan tangan Jokowi.

Sebuah unggahan video diFacebookyang diunggah pada 24 Oktober menarasikan Jokowi resmi mengundurkan diri dari PDIP. Thumbnail video tersebut terlihat Jokowi bersama Megawati, Puan, Ganjar dan Hasto.

Berikut narasi dalam unggahan tersebut:

“AKH1RNYA JOKOWI P4MIT MUNDUR DARI PDIP TEPAT DIDEPAN IBU MEGA JOKOWI MENGATAKAN INI”

Namun, benarkah Jokowi resmi mengundurkan diri dari PDIP pada 24 Oktober?","Berdasarkan penelusuran ANTARA, foto tersebut bukan saat Jokowi pamit mengundurkan diri, melainkan saat Rapat Kerja Nasional (Rakernas) IV di JIExpo Kemayoran, Jakarta Pusat, Jumat (28/9/2023 yang mengangkat tema 'Kedaulatan Pangan untuk Kesejahteraan Rakyat'.

Selain itu, terdapat juga foto Jokowi menggunakan peci dan baju batik, foto tersebut juga bukan saat pengunduran diri, melainkan saat Hari Konstitusi dan HUT ke-78 Majelis Permusyawaratan Rakyat Republik Indonesia di Gedung Nusantara IV, Senayan, Jakarta, pada Jumat (18/8/2023).

Dalam video tersebut, tidak ada informasi mengenai pengunduran diri Jokowi dari PDIP pada 24 Oktober. Narator hanya membacakan narasi dari Seword yang berjudul “Apakah Usulan Kakak Megawati Bisa Dituruti PDIP?” dan “Seberapa Mustahil Presiden Jokowi jadi Ketum PDIP?”.



Dengan demikian, unggahan video yang menyatakan Jokowi resmi mengundurkan diri dari PDIP pada 24 Oktober merupakan hoaks.",https://www.antaranews.com/berita/3792324/hoaks-jokowi-resmi-mengundurkan-diri-dari-pdip-pada-24-oktober,hoax
