title,source,date,category,narasi,url,status
Harga iPhone 17 dan iPhone Air Resmi iBox Desember 2025,Kompas.com,4 Desember 2025,Jawa Timur,"KOMPAS.com- Seri iPhone 17 dan iPhone Air mulai resmi dijual di iBox sejak 17 Oktober 2025 lalu, dan sampai saat ini tidak mengalami perubahan harga.

Adapun jajaran iPhone 17 series yang bisa dibeli di iBox adalah iPhone 17, iPhone 17 Pro, dan iPhone 17 Pro Max, ditambah iPhone Air yang menggantikan seri “Plus”.

Bagi Anda pengguna iPhone yang ingin mengganti seri lama ke seri iPhone baru, bisa langsung datang ke toko iBox terdekat, atau membeli melalui layananonline.

Baca juga:Harga iPhone 17 Pro Max dan Spesifikasinya di Indonesia

Berikut harga resmi iPhone 17 series dan iPhone Air di iBox Desember 2025:

Baca juga:Pre-Order iPhone 17 di Indonesia Tembus Belasan Ribu Unit, Varian Rp 40 Juta Jadi Incaran

Baca juga:iPhone 17 Rilis Malam Ini, Begini Spesifikasi dan Waktu Terbaik Membelinya

KOMPAS.com/Caroline Saskia TanotoUnboxing iPhone 17 Pro Max warna Deep Blue

Selain datang langsung ke tokooffline,Anda juga dapat melakukan pembelian iPhone secara online di laman resmi iBox.

Berikut langkah-langkah untuk membeli iPhone di iBox secaraonline:

Baca juga:Tambahkan Musik ke Status WhatsApp, Panduan untuk Android dan iPhone

Setelah selesai, Anda tinggal menunggu pesanan iPhone dikirimkan ke alamat atau bisa mengambilnya langsung di toko jika memilih metode ""Click & PickUp"".

Demikian rincian harga iPhone 17 series dan iPhone Air di iBox per Desember 2025.",https://www.kompas.com/jawa-timur/read/2025/12/04/153000188/harga-iphone-17-dan-iphone-air-resmi-ibox-desember-2025,fact
"Kenali 5 Tanda Orangtua Toxic, Pernah Mengalaminya?",Kompas.com,4 Desember 2025,Parenting,"KOMPAS.com- Beberapa pola asuh justru meninggalkan luka emosional, pola komunikasi yang tidak sehat, atau perilaku yang terus terbawa hingga anak dewasa. Situasi ini kerap disebut sebagai pola asuh toxic.

Menurut para ahli, perilakutoxicpada orangtua bisa muncul dalam bentuk yang halus maupun terang-terangan.

Hal ini membuatnya sulit dikenali adalah karena sebagian besar terjadi dalam lingkungan yang seharusnya paling aman, yaitu rumah. Berikut limatanda orangtua toxicyang penting dipahami.

Salah satu ciri umumorangtua toxicadalah tidak mau mengakui kesalahan atau bertanggung jawab atas perilaku mereka.

Pekerja sosial klinis berlisensi di Grow Therapy, Sean Abraham menjelaskan, orangtua toxic cenderung tidak pernah meminta maaf, bahkan ketika jelas salah.

Baca juga:Waspada, Ini 7 Ciri Pola Asuh Orangtua Gaslighter Menurut Psikolog

“Mereka hampir tidak pernah meminta maaf, bahkan ketika mereka bersalah,” kata Abraham, disadur dari Best Life, Kamis (4/12/2025).

Menurut Christina McWalter Granahan, terapis dan pekerja sosial klinis berlisensi, sulitnya mengakui kesalahan terjadi karena orangtua toxic biasanya tidak memiliki kesadaran diri yang cukup.

Alih-alih bertanggung jawab, mereka justru memindahkan kesalahan kepada anak. Dalam jangka panjang, pola ini membuat anak merasa selalu bersalah dan meragukan perspektifnya sendiri.

ShutterstockIlustrasi.

Batasan pribadi sangat penting untuk hubungan sehat, termasuk antara orangtua dan anak.  Namun, terapis hubungan, Melissa Wells mengungkapkan, orangtua toxic biasanya memiliki batasan yang buruk dan karena itu juga tidak mampu menghormati batasan anaknya.

“Orangtua toxic sering kali menolak dan mengabaikan batasan, bahkan benar-benar menginjaknya,” tutur Wells.

Contoh perilakunya bisa berupa memaksa mengetahui setiap aspek hidup anak, mengambil keputusan tanpa berdiskusi, hingga mencampuri kehidupan pribadi saat anak sudah dewasa.

Ketika batasan dilanggar secara konsisten, anak merasa tidak punya ruang untuk tumbuh sebagai individu.

Baca juga:Pentingnya Punya Privasi di Rumah Demi Mental yang Sehat

Menurut Abraham, orangtua toxic jarang berkomunikasi secara langsung mengenai kebutuhan mereka.

Sebaliknya, mereka menggunakan manipulasi seperti gaslighting, guilt-tripping, atau silent treatment untuk dikabulkan keinginannya.

“Orangtua yang toxic memakai taktik seperti gaslighting, rasa bersalah, dan silent treatment untuk memenuhi kebutuhan mereka,” ujar Abraham.",https://lifestyle.kompas.com/read/2025/12/04/132316420/kenali-5-tanda-orangtua-toxic-pernah-mengalaminya,fact
"Mengintip Harga City Car di Akhir 2025, Siapa yang Paling Murah?",Kompas.com,4 Desember 2025,Feature,"JAKARTA, KOMPAS.com- Memasuki Desember 2025, harga mobil di segmencity carterpantau masih stabil, tanpa perubahan dibandingkan banderol pada November lalu.

Meski porsi segmencity cartidak sebesar kelas lainnya, penggemarnya tetap ada, terutama mereka yang mencari mobil berdimensi ringkas dan irit bahan bakar tanpa mengorbankan performa.

Untuk model yang tersedia, saat ini hanya ada empat pemain city car di Indonesia, yakni Honda denganBrioRS, ToyotaAgya1.2 GR S, SuzukiS-Presso, dan DaihatsuSirion.

Baca juga:Makin Ramai, Cek Daftar Harga Mobil Hybrid Terbaru per Desember 2025

KOMPAS.com/Adityo WisnuToyota Agya GR Sport

Keempatnya menawarkan keunggulan masing-masing, baik dari sisi desain, fitur, performa, harga, maupun kenyamanan.

Brio RS dan Agya GR Sport menjadicity cardengan tampilansporty. Dari sisi harga, keduanya juga bersaing ketat.

Sementara bagi konsumen yang mencaricity cardengan mesin lebih besar serta kabin lebih lapang, Daihatsu Sirion bisa menjadi pilihan menarik.

Baca juga:Innova Reborn Facelift Meluncur, Segini Harga Bekasnya di Pasaran

Kompas.com/DonnyHonda Brio RS di Gaikindo Jakarta Auto Week (GJAW) 2025

Lebih lengkap soal harga, berikut daftar lengkapnya perDesember 2025untuk wilayah Jakarta:

Brio RS M/T Rp 248.200.000Brio RS CVT Rp 258.200.000

S-Presso MT Rp 172.600.000S-Presso AGS Rp 182.600.000

New Sirion X CVT Rp 233.850.000New Sirion R CVT Rp 243.050.000

Agya 1.2 GR-S M/T Non Premium Spec (One Tone) Rp 236.900.000Agya 1.2 GR-S M/T Non Premium Spec (Two Tone) Rp 239.400.000Agya 1.2 GR-S M/T (One Tone) (Spot Order*) Rp 246.200.000Agya 1.2 GR-S M/T (Two Tone) (Spot Order*) Rp 248.700.000Agya 1.2 GR-S CVT Non Premium Spec (One Tone) Rp 253.600.000Agya 1.2 GR-S CVT Non Premium Spec (Two Tone) Rp 256.200.000Agya 1.2 GR-S CVT (One Tone) Rp 262.700.000Agya 1.2 GR-S CVT (Two Tone) Rp 265.300.000",https://otomotif.kompas.com/read/2025/12/04/073100915/mengintip-harga-city-car-di-akhir-2025-siapa-yang-paling-murah-,fact
"Tangis dan Maaf Ibu Penjarah Rumah Uya Kuya: Maafkan Pak, Anak Saya 3 Bulan Enggak Pulang",Kompas.com,4 Desember 2025,Megapolitan,"JAKARTA, KOMPAS.com -Suasana haru mewarnai sidang kasus penjarahan rumah milik politikus PAN, Surya Utama atau Uya Kuya, di Pengadilan Negeri Jakarta Timur, Rabu (3/12/2025).

Usai memberikan keterangan sebagai saksi, Uya Kuya didatangi beberapa anggota keluarga para terdakwa yang telah menunggunya di luar ruang sidang.

Ibu dari salah satu terdakwa menghampiri Uya Kuya sambil menangis dan memohon maaf atas peristiwa yang menimpa sang pesohor.

Baca juga:Keluarga Terdakwa Penjarahan Menangis dan Minta Maaf pada Uya Kuya

""Maafin ya, Pak. Maafkan, anak saya sudah tiga bulan enggak pulang,"" ucap salah satu keluarga sembari memegang tangan Uya Kuya di Pengadilan Negeri Jakarta Timur, Rabu.

Uya Kuya terlihat berusaha menenangkan keluarga tersebut. Ia mengatakan bahwa sejak awal sudah memaafkan para terdakwa, tetapi proses hukum tetap menjadi kewenangan aparat.

""Ibu dengarkan saya, saya sudah maafkan dari awal, selanjutnya biar pihak berwenang, kalau keringanan bukan wewenang saya,"" jawab Uya Kuya.

Sebelum sidang ditutup, suasana ruang persidangan sempat berubah haru ketika keempat terdakwa kasus penjarahan meminta maaf secara langsung di hadapan majelis hakim. Mereka adalah Dimas Dwiki, Reval Ahmad, Anisa, dan Warda Wahdatullah.

Baca juga:4 Penjarah Rumahnya Minta Maaf, Uya Kuya: Dari Awal Sudah Saya Maafkan

Momen itu terjadi setelah majelis hakim yang dipimpin Immanuel menanyakan kepada Uya Kuya soal kesediaannya menerima permintaan maaf para terdakwa.

“Saudara Surya Utama, atau Saudara Uya Kuya ya. Ini kesempatan pertama saudara di persidangan ini. Saya hanya ingin merespons apa yang saudara katakan tadi, bahwa secara kemanusiaan saudara sudah memaafkan mereka. Biarlah hukum yang akan menyelesaikan masalah ini,” ujar Hakim Immanuel.

Hakim kemudian kembali memastikan apakah Uya bersedia menerima permintaan maaf tersebut.

“Jika keempat orang ini hari ini ingin meminta maaf secara pribadi kepada saudara dari sisi kemanusiaan, saudara bersedia menerima maaf dan salamnya?” tanya Hakim.

“Intinya, Yang Mulia, sebelum mereka meminta maaf pun saya sudah memaafkan mereka,” kata Uya.

Uya Kuya kemudian diminta maju bersama dua saksi lainnya, yaitu Riziansyah dan Abdurahman. Majelis hakim meminta Uya dan para saksi berdiri di depan ruang sidang untuk menerima permohonan maaf.

Baca juga:Mertua dan Adik Ipar Uya Kuya Mengungsi Usai Lihat Berita Rumah Sahroni Dijarah

“Silakan. Kita anggap sama-sama sebagai korban. Yang mau meminta maaf secara pribadi, silakan,” ucap hakim ketua.

Uya Kuya menyebut bahwa mertua serta kucing-kucing peliharaannya masih tinggal di rumah kontrakan setelah rumahnya dijarah oleh sekelompok orang tidak dikenal.",https://megapolitan.kompas.com/read/2025/12/04/06474141/tangis-dan-maaf-ibu-penjarah-rumah-uya-kuya-maafkan-pak-anak-saya-3-bulan,fact
Cerita Rino Pilih Jualan Koran di Lampu Merah daripada Mengemis,Kompas.com,4 Desember 2025,Megapolitan,"JAKARTA, KOMPAS.com -Pria bernama Rino (40) menjual koran di lampu merah perempatan Tugu Tani, Jakarta Pusat.

Saat pengendara berhenti, ia langsung bangkit dari trotoar, menggenggam beberapa eksemplarkoranyang mulai lecek di tangannya.

Langkahnya cepat. Tubuhnya melenggang di antara barisan kendaraan.

Ia mengetuk kaca mobil yang sedikit terbuka, lalu merentangkan koran ke arah pengendara memperlihatkan tajuk utama yang terpampang besar di halaman depan.

Sesekali ia mencoba mendekati pengendara motor yang berhenti di garis depan.

Baca juga:Nasib Penjual Koran di Jakpus di Ujung Senja, Pembaca Berpindah ke Layar Digital

Namun, sebagian besar pengendara hanya merespons dengan gelengan kepala, isyarat tangan menolak, atau memilih memalingkan wajah ke layar ponsel.

Ketika lampu kembali hijau, suara klakson dan deru mesin kembali menguasai udara, ia mundur pelan ke tepi jalan.

KOMPAS.com/Lidia Pratama FebrianRino, Pejual Koran yang menjajakan dagangan di Tugu Tani, Jakarta Pusat.

Ia membungkuk, merapikan kembali dagangannya yang terlipat-lipat, lalu menunggu siklus berikutnya.

Selama tiga jamKompas.commelakukan pengamatan, Rabu (3/12/2025), tak satu pun koran yang dijualRinolaku terjual.

Masih duduk di trotoar, Rino menatap jauh ke arah gedung-gedung tinggi yang berdiri megah di sekitar kawasanTugu Tani.

Hujan yang sempat turun sebelumnya membuat permukaan jalan masih basah.

Kakinya yang telanjang tampak kedinginan, sesekali ia menggerakkannya untuk mengusir gemetar.

Ia mengenakan kaus coklat kusam yang robek di beberapa bagian dan celana selutut yang warnanya hampir pudar.

“Saya dari zaman Presiden Megawati sudah jualan di sini. Kurang lebih sudah 20 tahun,” ujar Rino saat dihampiri Kompas.com tersenyum samar.

Selama dua dekade itu, ia tidak pernah berpindah lokasi. Tugu Tani adalah tempatnya bertahan hidup.

Baca juga:Tips Belajar Bahasa Inggris Mr Dede Satpol PP, dari Film hingga Koran

Dulu, katanya, ia bisa menjual puluhan eksemplar koran hanya dalam beberapa jam. Pagi hari adalah waktu panen.

Sopir kantor, pekerja swasta, hingga pegawai negeri, hampir semua mengambil satu eksemplar saat melintas. Namun sekarang situasinya terbalik.

“Sekarang 10 koran saja sehari susah laku,” tutur Rino lirih.

Rino tidak memiliki agen tetap. Tiap pagi ia mengumpulkan modal seadanya untuk membeli koran dari berbagai penerbit.

“Biasanya saya beli paling 20 eksemplar. Kadang cuma punya uang Rp 20 ribu,” ucapnya.

Untuk setiap koran Kompas yang ia ambil, modalnya kini Rp 8.000 dengan harga jual Rp 12.000, dan Rino hanya mendapatkan keuntungan sekitar Rp 4.000 per eksemplar.",https://megapolitan.kompas.com/read/2025/12/04/14261441/cerita-rino-pilih-jualan-koran-di-lampu-merah-daripada-mengemis,fact
"[POPULER OTOMOTIF] iCar V23 di IIMS 2026, Otomotif Masuk Fase Baru",Kompas.com,4 Desember 2025,News,"JAKARTA, KOMPAS.com- Banyak pembaca ingin tahu tentang Chery iCar V23 yang bakal debut di IIMS 2026. Begitu pula dengan artikel tentang pasar otomotif yang memasuki fase baru.

Selain itu, banyak juga yang penasaran denganInnova Rebornfacelift yang meluncur. Untuk lebih lengkapnya, berikut ini kumpulan artikel otomotif terpopuler pada Rabu (3/12/2025):

1.CheryiCar V23Siap Debut diIIMS 2026, Apa Saja Fitur Unggulannya?

ilhamkarim/kompas.comChery iCar V23 di Wuhu.

Menjelang dibukanya Indonesia International Motor Show (IIMS) 2026, kabar baru datang dari Chery. Bukan dari lini model yang sudah lebih dulu dikenal, melainkan dari iCar, sub-brand yang belakangan ramai diperbincangkan di pasar regional. Produk ini disebut-sebut akan menjadi salah satu bintang baru ketika pameran dibuka pada (5–15/2/2026).

Baca juga:Chery iCar V23 Siap Debut di IIMS 2026, Apa Saja Fitur Unggulannya?

2. Makin Ramai, Cek DaftarHarga Mobil HybridTerbaru per Desember 2025

KOMPAS.com/STANLY RAVELToyota Veloz Hybrid

Memasuki penghujung tahun, tepatnya pada Desember 2025, pilihan mobil elektrifikasi dengan teknologi hybrid makin bertambah dengan hadirnya beberapa pemain baru yang mengisi berbagai segmen. Paling hangat tentu Toyota Veloz Hybrid. Mobil yang bermain di segmen low multi purpose vehicle (LMPV) ini naik kelas menjadi pilihan MPV keluarga elektrifikasi dengan harga yang terjangkau.

Baca juga:Makin Ramai, Cek Daftar Harga Mobil Hybrid Terbaru per Desember 2025

3.Pasar OtomotifMasuk Fase Baru: Harga Mobil Terkoreksi karena TekananEV

KOMPAS.com/ISNA RIFKA SRI RAHAYUMenteri Koordinator Bidang Perekonomian Airlangga Hartarto saat Rapimnas Kadin Indonesia di Jakarta, Senin (1/12/2025).

Menteri Koordinator Bidang Perekonomian RI Airlangga Hartarto menilai meningkatnya minat masyarakat terhadap mobil listrik (EV) mulai mengubah pola kompetisi di pasar otomotif nasional. Di mana, produsen kendaraan konvensional kini lebih menahan harga agar tetap bersaing dengan kendaraan elektrifikasi yang semakin kompetitif dalam beberapa bulan terakhir. Fenomena ini merupakan yang pertama kali terjadi di dalam negeri.

Baca juga:Pasar Otomotif Masuk Fase Baru: Harga Mobil Terkoreksi karena Tekanan EV

4. MomenMenkeu PurbayaCobaMotor Patwal,BMW R 1300 GS Adventure

TikTok/Purbaya YudhiMenteri Keuangan Purbaya Yudhi mencoba motor Patwal, BMW R 1300 GS Adventure

Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa mencoba motor Patroli dan Pengawalan (Patwal) yang ada sehari-hari bertugas di Kementerian Keuangan. Pengalaman Purbaya dia bagikan lewat akun TikTok pribadinya. Motor yang digunakan adalah BMW R 1300 GS Adventure generasi paling terakhir.

Baca juga:Momen Menkeu Purbaya Coba Motor Patwal, BMW R 1300 GS Adventure

5. Innova Reborn Facelift Meluncur, Segini Harga Bekasnya di Pasaran

ToyotaToyota Kijang Innova terbaru

Toyota kembali melakukan penyegaran Toyota Kijang Innova Reborn. Mobil keluarga bermesin diesel ini mendapat pembaruan dari sisi tampilan maupun fitur, guna menjaga daya tariknya di tengah persaingan yang makin ketat. Innova Reborn model terbaru ini dibekali dua pilihan transmisi yakni otomatis dan manual, dengan banderol Kijang Innova G MT Rp 416.600.000, sementara tipe G AT dijual Rp 437.500.000 on the road Jakarta.

Baca juga:Innova Reborn Facelift Meluncur, Segini Harga Bekasnya di Pasaran",https://otomotif.kompas.com/read/2025/12/04/063256715/populer-otomotif-icar-v23-di-iims-2026-otomotif-masuk-fase-baru,fact
"Raja Juli Sebut Bencana Sumatera karena Beberapa Faktor, Salah Satunya Daerah Tangkapan Air Rusak",Kompas.com,4 Desember 2025,Nasional,"JAKARTA, KOMPAS.com- Menteri Kehutanan Raja Juli Antoni menyebut bencana Sumatera disebabkan oleh kombinasi beberapa faktor.

Hal tersebut disampaikan saat rapat kerja Komisi IV DPR RI di Kompleks Parlemen, Jakarta, Kamis (4/12/2025).

“Bencana banjir bandang dan longsor khususnya di tiga provinsi, yaitu Aceh, Sumut, dan Sumbar terjadi karena kombinasi beberapa faktor yang saling terkait dan mengait,” ujar Raja Juli.

Salah satu faktor yang Raja Juli jelaskan adalah adanya siklus tropis senyar yang membuat cuaca ekstrem dan curah hujan tinggi.

Baca juga:Raja Juli: Bencana Sumatera Mencambuk Saya dan Pimpinan di Kemenhut

“Namun juga ada karena bentuk geomorfologi DAS (Daerah Aliran Sungai), serta yang ketiga adalah tentu karena ada kerusakan pada daerah tangkapan air,” ujar dia.

Raja Juli mengeklaim,deforestasihutan Indonesia hingga September 2025 menurun sebesar 49.700 hektare jika dibandingkan 2024 atau menurun 23,01 persen.

“Penurunan deforestasi tersebut juga teridentifikasi pada 3 provinsi terdampak banjir. Di Aceh menurun sebesar 10,04 persen. Di Sumut menurun sampai 13,98 persen, dan di Sumbar turun 14 persen jika dibandingkan dengan 2024,” tegas dia.

Per 3 Desember 2025, jumlah korban tewas akibat banjir bandang dan tanah longsor di tiga provinsi, yakni Aceh, Sumatera Utara, dan Sumatera Barat, bertambah menjadi 770 orang.

""Secara total korban meninggal yang tervalidasi 770 jiwa dan korban hilang yang masih dalam pencarian 463 jiwa,"" ujar Kepala Pusat Data Informasi dan Komunikasi Kebencanaan BNPB Abdul Muhari dalam jumpa pers virtual, Rabu (3/12/2025).

Rinciannya, korban meninggal di Aceh ada 277 jiwa, di Sumatera Utara ada 299 jiwa, dan di Sumatera Barat ada 194 jiwa.

Sementara korban hilang di Aceh ada 193 jiwa, di Sumatera Utara ada 159 jiwa, dan di Sumatera Barat ada 111 jiwa.

Sementara itu, data Pusdatin BNPB juga memperlihatkan jumlah kerusakan pada rumah-rumah warga di tiga provinsi tersebut.

Baca juga:Komisi IV DPR RI Rapat dengan Menteri Kehutanan, Bahas Bencana Sumatera

""3.300 rumah rusak berat, 2.100 rumah rusak ringan, dan 4.900 rusak ringan,"" tulis data tersebut.

Kemudian, banjir bandang dan tanah longsor mengakibatkan sejumlah fasilitas umum yang rusak, termasuk fasilitas pendidikan dan tempat ibadah.

""Jembatan 45,48 persen mengalami kerusakan, fasilitas ibadah 20,21 persen, fasilitas pendidikan 32,92 persen, dan fasilitas kesehatan 1,38 persen,"" tulis data Pusdatin BNPB.

Sementara itu, jumlah penduduk yang terdampak mencapai 1,6 juta di Sumatera Utara, 1,5 juta di Aceh, dan 140.500 warga Sumatera Barat.

KOMPAS.com/GOKLAS WISELYSejumlah rumah tergenang di Kelurahan Pekan Tanjung Pura, Kecamatan Tanjung Pura, Kabupaten Langkat, Sumatera Utara pada Rabu (3/12/2025).

Dengan demikian, total masyarakat di tiga provinsi yang terdampak bencana sebanyak 3,2 juta jiwa yang tersebar di 50 kabupaten.

Data ini pun masih terus diperbarui oleh BNPB secara berkala.",https://nasional.kompas.com/read/2025/12/04/14125701/raja-juli-sebut-bencana-sumatera-karena-beberapa-faktor-salah-satunya-daerah,fact
"Bupati Nagan Raya Aceh: Sepekan Kami Belum Terima Bantuan dari Pusat, Kami Sangat Berharap",Kompas.com,4 Desember 2025,Tren,"NAGAN RAYA, KOMPAS.com -Pemerintah Kabupaten Nagan Raya, Aceh berharap bisa segera menerima bantuan dari pemerintah pusat untuk warga mereka yang terdampak bencana banjir bandang.

Disebutkan bahwa ada puluhan ribu warga Nagan Raya tedampak bencana alam tersebut.

Bupati Nagan Raya, Teuku Raja Keumangan, menyebut Pemkab belum menerima satu pun bantuan dari pemerintah pusat hingga Kamis (4/12/2025) ini.

“Kami sangat berharap bantuan segera disalurkan kepada masyarakat yang tertimpa musibah di Kabupaten Nagan Raya,” ungkapnya, sebagaimana dilansir Kantor beritaAntara.

Baca juga:Banjir dan Tanah Longsor Sumatera Disebabkan Cuaca atau Kerusakan Hutan? Ini Penjelasan BMKG dan Pakar

Badan Penanggulangan Bencana Daerah (BPBD) Kabupaten Nagan Raya mencatat sebanyak 25.608 jiwa atau 8.258 Kepala Keluarga (KK) terdampakbanjirbandang dan banjir luapan yang terjadi pada Rabu hingga Kamis (26-27/11/2025) pekan lalu.

Bupati Teuku Raja Keumangan juga meminta pemerintah pusat segera menetapkan bencana banjir yang melanda ProvinsiAcehtermasuk Sumatera Utara dan Sumatera Barat sebagai bencana nasional.

Mengingat skala kerusakan, cakupan wilayah terdampak, serta terbatasnya kemampuan anggaran daerah dalam menangani bencana alam banjir bandang yang sangat parah.

Ia bercerita, beberapa hari lalu, Pemkab Nagan Raya juga telah menandatangani surat pernyataan ketidakmampuan anggaran dalam menangani bencana besar ini.

Hal serupa juga dilakukan oleh sejumlah kabupaten lain di Aceh yang terdampak berat.

“Saya sudah menandatangani surat pernyataan ketidakmampuan dari segi anggaran dalam mengatasi musibah ini. Sama seperti beberapa kabupaten lainnya di Aceh yang sudah menandatangani surat pernyataan serupa,” katanya.

Baca juga:Asal Usul Warna Hijau Tosca Danau Singkarak Saat Banjir Melanda Sumatera yang Diungkap Peneliti BRIN

Bupati mengungkapkan, terdapat empat kecamatan di Kabupaten Nagan Raya yang dilanda banjir, yakni Tadu Raya, Tripa Makmur, Darul Makmur, dan Beutong Ateuh Banggalang.

Dari empat wilayah itu, Kecamatan Beutong Ateuh Banggalang tercatat mengalami kerusakan terparah.

“Di antara empat kecamatan yang dilanda musibah, Beutong Ateuh Banggalang adalah yang paling parah. Sebanyak 85 persen infrastruktur, fasilitas umum, dan rumah-rumah warga hancur total,” tambahnya..

Selain itu, akses jembatan penghubung antara Kabupaten Nagan Raya dan Aceh Tengah yang berada di wilayah tersebut masih terputus, sehingga menyulitkan proses penyaluran bantuan dan evakuasi.

“Uluran tangan dari Pemerintah Pusat dan Pemerintah Aceh sangat kami harapkan untuk membantu masyarakat kami di Kabupaten Nagan Raya,” ucap Bupati.

Baca juga:Menteri LH Panggil 8 Perusahaan Imbas Gelondongan Kayu di Banjir Sumatera",https://www.kompas.com/tren/read/2025/12/04/130000565/bupati-nagan-raya-aceh--sepekan-kami-belum-terima-bantuan-dari-pusat-kami,fact
Gibran Berikan Boneka dan Buku Tulis untuk Anak Pengungsi Banjir di Agam,Kompas.com,4 Desember 2025,Sumatera Barat,"KOMPAS.com-  Wakil Presiden Gibran Rakabuming Raka menyalurkan bantuan kepada pengungsi korban banjir di Agam, Sumatera Barat, pada Kamis (4/12/2025).

Kegiatan ini dimulai sekitar pukul 07.30 WIB di kantung pengungsian Badan Nasional Penanggulangan Bencana (BNPB).Gibranlangsung membagikan berbagai bantuan, mulai dari makanan hingga kebutuhan lainnya.

Selain itu, Gibran juga menyempatkan diri memberikan mainan untuk anak-anakpengungsi, termasukbonekadanbuku tulis.

Baca juga:Gibran: Distribusi Bantuan Korban Banjir Sumatera Dipercepat

Gibran berinteraksi langsung dengan warga pengungsi, mendengarkan keluhan mereka, dan mencatat informasi penting.

Ia juga mendengarkan paparan dari pemerintah daerah setempat tentang situasi terkini.

Ditemani oleh anggota DPR dari Partai Gerindra, Andre Rosiade, Gibran berfokus pada upaya mendukung pemulihan daerah terdampak bencana.

Baca juga:Gibran ke Korban Banjir: Warga Sumatera Tidak Sendirian

Sebelumnya, Wakil Presiden RI Gibran Rakabuming tiba di Bandara Minangkabau,Sumatera Barat, pada Kamis (4/12/2025), untuk meninjau dampak bencanabanjirdan longsor di daerah tersebut.

Gibran mendarat sekitar pukul 06.20 WIB dan langsung melanjutkan perjalanan dengan helikopter menuju KabupatenAgam, salah satu daerah yang terparah terdampak.

Selain Gibran, rombongan yang mendampingi juga termasuk Wakil Menteri Dalam Negeri (Wamendagri) Bima Aria dan Wakil Menteri BUMN Aminuddin Ma’ruf.

Mereka disambut oleh Andre Rosiade dan sempat berbincang mengenai langkah-langkah yang perlu diambil untuk mengatasi dampak bencana.

Baca juga:Usai Jenguk Pengungsi Banjir di Agam, Gibran Lanjut Terbang ke Sumut

Bencana banjir bandang dan tanah longsor yang melanda tiga provinsi, yaitu Aceh, Sumatera Utara, dan Sumatera Barat, telah mengakibatkan 770 orang meninggal dunia hingga sore 3 Desember 2025.

Jumlah korban jiwa di Sumatera Barat tercatat mencapai 194 orang, dengan 111 orang lainnya masih dalam pencarian. Sebanyak 140.500 warga di Sumbar turut terdampak banjir.

Sebagian artikel telah tayang di Kompas.com dengan judul:Gibran Mendarat di Agam Sumbar, Dengar dan Catat Keluhan Korban BanjirdanGibran Bagikan Bantuan hingga Mainan Anak ke Korban Banjir Agam, Sumbar.",https://www.kompas.com/sumatera-barat/read/2025/12/04/103500688/gibran-berikan-boneka-dan-buku-tulis-untuk-anak-pengungsi-banjir,fact
"Honda Mulai Meninggalkan Bebek, Simak Penjelasannya",Kompas.com,4 Desember 2025,News,"CIKARANG, KOMPAS.com- Kondisi pangsa pasar motor di Indonesia didominasi oleh skuter matik (skutik). Makanya sudah mulai jarang motor bebek baru atau sport yang kelihatan di jalan.

Pabrikan motor besar juga terkesan lebih fokus mengembangkan lini produkskutikdaripada bebek dan sport. Paling terakhir ada Suzuki yang meluncurkan Satria, Honda juga sudah tidak mengeluarkan versi baru dari Sonic atau Supra X dan Revo.

Marketing Director PT Astra Honda Motor (AHM) Octavianus Dwi menjelaskan, pasar skutik di Indonesia menguasai lebih dari 90 persen penjualan.

Baca juga:Suzuki Buka Peluang Masuk Segmen Motor 350-500cc

AHMCRF1100L Africa Twin Matte Ballistic Black Metallic

""Saat inimarket-nya motor matik itu 92 persen. Artinya yang cub (bebek) dan motor laki itu akhirnya hanya segmen tertentu saja,"" kata Octavianus di Cikarang, Senin (1/12/2025).

Octavianus menjelaskan, dari delapan persen, pangsa pasar bebek kurang dari lima persen. Sementara yang sport, dia melihat pasarnya terus mengecil.

Menanggapi hal tersebut, Octavianus mengatakan kalau Honda akan tetap eksis di segmen bebek dan sport. Untuk bebek memang kelihatan tidak dikembangkan, tapi yang sport jadi ditambahkan model baru yang lebih spesifik.

Baca juga:Komunitas Honda CR-V Rayakan Hari Jadi ke-7

""Kita tetap akan eksis. Dari 17 motor baru (meluncur di 2025), banyak yang big bike dan sport. Kita mencoba untuk tetap menjaga eksistensinya,"" kata Octavianus.

Selama 2025, Honda mengeluarkan versi terbaru dari CB650R, sudah pakai e-Clutch. Selain itu, CFR1100L atau Africa Twin juga turut diperbarui.

Tapi buat motor bebeknya, seperti Sonic, belum ada pembaruan. Saat ditanya apa ada pembaruan di 2026, Octavianus cuma bilang, ""tunggu saja.""",https://otomotif.kompas.com/read/2025/12/04/070200415/honda-mulai-meninggalkan-bebek-simak-penjelasannya,fact
